GEOID,n_nodes,connectivity_stored,connectivity_recomputed,efficiency_stored,efficiency_recomputed,accessibility_stored,accessibility_recomputed,equity_stored,equity_recomputed,max_abs_diff,match
01001020100,250,1.164,1.164,0.924956,0.924956,21.776,21.776,0.648297,0.648297,0.0,True
01001020200,209,1.296651,1.296651,0.957135,0.957135,47.244019,47.244019,0.720765,0.720765,0.0,True
01001020300,399,1.263158,1.263158,0.945484,0.945484,57.66416,57.66416,0.686134,0.686134,0.0,True
01001020400,244,1.372951,1.372951,0.941469,0.941469,37.131148,37.131148,0.75659,0.75659,0.0,True
01001020502,342,1.292398,1.292398,0.914037,0.914037,121.116959,121.116959,0.663577,0.663577,0.0,True
01001020503,282,1.29078,1.29078,0.909826,0.909826,79.680851,79.680851,0.654429,0.654429,0.0,True
01001020600,345,1.289855,1.289855,0.927145,0.927145,32.4,32.4,0.670684,0.670684,0.0,True
01001020805,388,1.118557,1.118557,0.929003,0.929003,25.14433,25.14433,0.528167,0.528167,0.0,True
01001020901,457,1.185996,1.185996,0.92274,0.92274,17.133479,17.133479,0.508621,0.508621,0.0,True
01001020902,383,1.138381,1.138381,0.918767,0.918767,5.519582,5.519582,0.551734,0.551734,0.0,True
01005950300,394,1.139594,1.139594,0.918725,0.918725,6.091371,6.091371,0.400131,0.400131,0.0,True
01005950600,357,1.201681,1.201681,0.922707,0.922707,30.033613,30.033613,0.508631,0.508631,0.0,True
01005950700,243,1.197531,1.197531,0.884719,0.884719,35.358025,35.358025,0.508019,0.508019,0.0,True
01005950800,339,1.377581,1.377581,0.930742,0.930742,75.828909,75.828909,0.578414,0.578414,0.0,True
01013952800,416,1.408654,1.408654,0.942906,0.942906,124.105769,124.105769,0.656085,0.656085,0.0,True
01013953100,353,1.161473,1.161473,0.932589,0.932589,23.036827,23.036827,0.585106,0.585106,0.0,True
01013953500,427,1.236534,1.236534,0.913858,0.913858,10.327869,10.327869,0.331101,0.331101,0.0,True
01015000300,438,1.518265,1.518265,0.969309,0.969309,133.442922,133.442922,0.768503,0.768503,0.0,True
01015000400,337,1.299703,1.299703,0.936357,0.936357,33.792285,33.792285,0.714837,0.714837,0.0,True
01015000500,306,1.506536,1.506536,0.973515,0.973515,109.196078,109.196078,0.789268,0.789268,0.0,True
01015000600,423,1.274232,1.274232,0.776075,0.776075,80.576832,80.576832,0.607673,0.607673,0.0,True
01015000900,481,1.257796,1.257796,0.927018,0.927018,31.97921,31.97921,0.599985,0.599985,0.0,True
01015001202,480,1.2625,1.2625,0.771593,0.771593,30.925,30.925,0.601151,0.601151,0.0,True
01015001300,291,1.408935,1.408935,0.946517,0.946517,50.219931,50.219931,0.712666,0.712666,0.0,True
01015001400,432,1.180556,1.180556,0.938025,0.938025,18.319444,18.319444,0.708167,0.708167,0.0,True
01015001501,439,1.211845,1.211845,0.849732,0.849732,23.125285,23.125285,0.682616,0.682616,0.0,True
01015001502,398,1.153266,1.153266,0.929448,0.929448,10.768844,10.768844,0.667578,0.667578,0.0,True
01015001801,335,1.247761,1.247761,0.933186,0.933186,23.868657,23.868657,0.688007,0.688007,0.0,True
01015001802,408,1.203431,1.203431,0.930103,0.930103,22.617647,22.617647,0.665241,0.665241,0.0,True
01015002102,444,1.387387,1.387387,0.943094,0.943094,74.558559,74.558559,0.635162,0.635162,0.0,True
01015002104,426,1.326291,1.326291,0.921556,0.921556,43.450704,43.450704,0.653268,0.653268,0.0,True
01015002105,367,1.19346,1.19346,0.901931,0.901931,35.547684,35.547684,0.596597,0.596597,0.0,True
01015002504,478,1.156904,1.156904,0.919071,0.919071,15.401674,15.401674,0.544051,0.544051,0.0,True
01015981902,406,1.275862,1.275862,0.917203,0.917203,5.650246,5.650246,0.619167,0.619167,0.0,True
01015981903,175,1.268571,1.268571,0.83659,0.83659,5.782857,5.782857,0.612242,0.612242,0.0,True
01017954200,471,1.129512,1.129512,0.935095,0.935095,19.791932,19.791932,0.619898,0.619898,0.0,True
01017954600,478,1.389121,1.389121,0.94946,0.94946,69.142259,69.142259,0.70267,0.70267,0.0,True
01021060103,450,1.191111,1.191111,0.938764,0.938764,19.524444,19.524444,0.485663,0.485663,0.0,True
01021060600,461,1.147505,1.147505,0.914008,0.914008,3.639913,3.639913,0.572474,0.572474,0.0,True
01021060701,423,1.130024,1.130024,0.940759,0.940759,16.534279,16.534279,0.438444,0.438444,0.0,True
01025957601,465,1.126882,1.126882,0.897177,0.897177,4.189247,4.189247,0.526471,0.526471,0.0,True
01031010200,499,1.138277,1.138277,0.953154,0.953154,5.59519,5.59519,0.606774,0.606774,0.0,True
